,id,municipio,pib,populacao
0,3100104,Abadia dos Dourados,25174.26,6345.0
1,3100203,Abaeté,23266.1,23173.0
2,3100302,Abre Campo,19553.86,14354.0
3,3100401,Acaiaca,16247.06,3998.0
4,3100500,Açucena,17888.2,8926.0
5,3100609,Água Boa,14421.07,12391.0
6,3100708,Água Comprida,115725.51,2171.0
7,3100807,Aguanil,20762.54,4509.0
8,3100906,Águas Formosas,14913.12,18850.0
9,3101003,Águas Vermelhas,17329.28,14567.0
10,3101102,Aimorés,25402.54,26212.0
11,3101201,Aiuruoca,21608.49,6389.0
12,3101300,Alagoa,17958.99,2820.0
13,3101409,Albertina,51065.05,3027.0
14,3101508,Além Paraíba,27422.83,31159.0
15,3101607,Alfenas,43049.74,82303.0
16,3101631,Alfredo Vasconcelos,21364.59,7236.0
17,3101706,Almenara,15924.96,42019.0
18,3101805,Alpercata,12700.99,7019.0
19,3101904,Alpinópolis,26133.79,18673.0
20,3102001,Alterosa,20357.31,14272.0
21,3102050,Alto Caparaó,16354.23,6014.0
22,3102100,Alto Rio Doce,16798.64,10931.0
23,3102209,Alvarenga,14445.67,3983.0
24,3102308,Alvinópolis,22478.72,15358.0
25,3102407,Alvorada de Minas,17990.28,4359.0
26,3102506,Amparo do Serra,12045.13,4574.0
27,3102605,Andradas,28386.06,42501.0
28,3102704,Cachoeira de Pajeú,13262.75,9347.0
29,3102803,Andrelândia,23950.85,12163.0
30,3102852,Angelândia,16818.81,7849.0
31,3102902,Antônio Carlos,21088.32,11350.0
32,3103009,Antônio Dias,96894.13,9375.0
33,3103108,Antônio Prado de Minas,18117.22,1552.0
34,3103207,Araçaí,25422.8,2222.0
35,3103306,Aracitaba,15253.67,2095.0
36,3103405,Araçuaí,14163.67,35185.0
37,3103504,Araguari,49322.18,123432.0
38,3103603,Arantina,31861.03,2998.0
39,3103702,Araponga,14443.79,8218.0
40,3103751,Araporã,185156.76,9069.0
41,3103801,Arapuá,60936.37,2668.0
42,3103900,Araújos,49809.64,9634.0
43,3104007,Araxá,82570.25,118786.0
44,3104106,Arceburgo,31547.24,9335.0
45,3104205,Arcos,57713.61,43653.0
46,3104304,Areado,20234.71,14229.0
47,3104403,Argirita,14954.09,2715.0
48,3104452,Aricanduva,12645.43,4820.0
49,3104502,Arinos,17849.84,17586.0
50,3104601,Astolfo Dutra,20339.56,14633.0
51,3104700,Ataléia,15926.39,13936.0
52,3104809,Augusto de Lima,18423.57,4572.0
53,3104908,Baependi,19795.44,18782.0
54,3105004,Baldim,25871.06,7595.0
55,3105103,Bambuí,32549.38,24203.0
56,3105202,Bandeira,12476.94,4811.0
57,3105301,Bandeira do Sul,14907.61,6183.0
58,3105400,Barão de Cocais,73393.52,32264.0
59,3105509,Barão do Monte Alto,11883.74,4952.0
60,3105608,Barbacena,25335.18,129695.0
61,3105707,Barra Longa,16702.85,5717.0
62,3105905,Barroso,29022.49,20604.0
63,3106002,Bela Vista de Minas,55337.41,10427.0
64,3106101,Belmiro Braga,17992.57,3292.0
65,3106200,Belo Horizonte,41818.32,2415872.0
66,3106309,Belo Oriente,77527.64,24546.0
67,3106408,Belo Vale,36243.16,9012.0
68,3106507,Berilo,9551.5,9638.0
69,3106606,Bertópolis,11671.08,4546.0
70,3106655,Berizal,12734.93,4270.0
71,3106705,Betim,73624.78,431433.0
72,3106804,Bias Fortes,12668.63,3367.0
73,3106903,Bicas,18998.7,14358.0
74,3107000,Biquinhas,25978.67,2397.0
75,3107109,Boa Esperança,26261.54,41443.0
76,3107208,Bocaina de Minas,15766.67,5530.0
77,3107307,Bocaiúva,24252.97,49797.0
78,3107406,Bom Despacho,35269.0,54377.0
79,3107505,Bom Jardim de Minas,19828.35,6988.0
80,3107604,Bom Jesus da Penha,45924.06,4677.0
81,3107703,Bom Jesus do Amparo,25935.64,5786.0
82,3107802,Bom Jesus do Galho,11568.99,14719.0
83,3107901,Bom Repouso,15221.01,13312.0
84,3108008,Bom Sucesso,25271.28,17515.0
85,3108107,Bonfim,19772.69,7710.0
86,3108206,Bonfinópolis de Minas,84995.13,5600.0
87,3108255,Bonito de Minas,8784.49,10525.0
88,3108305,Borda da Mata,18923.96,17837.0
89,3108404,Botelhos,21834.65,15141.0
90,3108503,Botumirim,12103.05,5806.0
91,3108552,Brasilândia de Minas,24489.37,15485.0
92,3108602,Brasília de Minas,11627.4,33262.0
93,3108701,Brás Pires,11758.46,4296.0
94,3108800,Braúnas,44982.9,4445.0
95,3108909,Brazópolis,13786.69,14491.0
96,3109006,Brumadinho,112233.99,41090.0
97,3109105,Bueno Brandão,21921.18,11168.0
98,3109204,Buenópolis,17474.86,9171.0
99,3109253,Bugre,11937.36,4159.0
100,3109303,Buritis,46229.61,24779.0
101,3109402,Buritizeiro,26118.73,23908.0
102,3109451,Cabeceira Grande,67955.62,6811.0
103,3109501,Cabo Verde,20665.25,11269.0
104,3109600,Cachoeira da Prata,14487.2,3785.0
105,3109709,Cachoeira de Minas,46258.02,12302.0
106,3109808,Cachoeira Dourada,99124.77,2337.0
107,3109907,Caetanópolis,26561.99,11906.0
108,3110004,Caeté,23695.84,39775.0
109,3110103,Caiana,15876.73,5484.0
110,3110202,Cajuri,24569.91,4191.0
111,3110301,Caldas,23127.61,14628.0
112,3110400,Camacho,24964.43,2851.0
113,3110509,Camanducaia,45365.42,27860.0
114,3110608,Cambuí,62049.99,31066.0
115,3110707,Cambuquira,28950.98,12551.0
116,3110806,Campanário,14298.98,2884.0
117,3110905,Campanha,26097.7,16372.0
118,3111002,Campestre,23104.32,21155.0
119,3111101,Campina Verde,27169.11,18188.0
120,3111150,Campo Azul,10616.58,3806.0
121,3111200,Campo Belo,22905.64,54027.0
122,3111309,Campo do Meio,19843.07,11625.0
123,3111408,Campo Florido,84803.44,8931.0
124,3111507,Campos Altos,27730.44,13076.0
125,3111606,Campos Gerais,24372.14,26749.0
126,3111705,Canaã,17088.06,4839.0
127,3111804,Canápolis,55343.4,10716.0
128,3111903,Cana Verde,14348.74,5342.0
129,3112000,Candeias,24926.08,14211.0
130,3112059,Cantagalo,12406.75,4029.0
131,3112109,Caparaó,17866.83,5138.0
132,3112208,Capela Nova,13534.64,4397.0
133,3112307,Capelinha,23174.33,41858.0
134,3112406,Capetinga,30215.68,6627.0
135,3112505,Capim Branco,12467.57,11210.0
136,3112604,Capinópolis,40910.84,14872.0
137,3112653,Capitão Andrade,10939.49,4634.0
138,3112703,Capitão Enéas,32591.49,14403.0
139,3112802,Capitólio,37783.2,10991.0
140,3112901,Caputira,15427.23,9128.0
141,3113008,Caraí,8814.85,19511.0
142,3113107,Caranaíba,13169.27,2942.0
143,3113206,Carandaí,29108.4,24403.0
144,3113305,Carangola,19358.62,32134.0
145,3113404,Caratinga,24518.79,90890.0
146,3113503,Carbonita,23419.5,8603.0
147,3113602,Careaçu,25519.59,7062.0
148,3113701,Carlos Chagas,25642.26,18783.0
149,3113800,Carmésia,14958.01,2693.0
150,3113909,Carmo da Cachoeira,26379.28,11767.0
151,3114006,Carmo da Mata,23014.9,11291.0
152,3114105,Carmo de Minas,19322.94,14125.0
153,3114204,Carmo do Cajuru,27469.01,24581.0
154,3114303,Carmo do Paranaíba,34945.92,29885.0
155,3114402,Carmo do Rio Claro,32595.84,21506.0
156,3114501,Carmópolis de Minas,23365.28,18561.0
157,3114550,Carneirinho,40332.68,9633.0
158,3114600,Carrancas,43842.86,4161.0
159,3114709,Carvalhópolis,19752.88,3419.0
160,3114808,Carvalhos,18141.26,4503.0
161,3114907,Casa Grande,30760.19,2260.0
162,3115003,Cascalho Rico,25741.18,2751.0
163,3115102,Cássia,24600.35,17491.0
164,3115201,Conceição da Barra de Minas,17449.47,3576.0
165,3115300,Cataguases,21748.3,67732.0
166,3115359,Catas Altas,920833.97,5706.0
167,3115409,Catas Altas da Noruega,11130.5,3124.0
168,3115458,Catuji,13420.7,7248.0
169,3115474,Catuti,11497.57,4788.0
170,3115508,Caxambu,17204.61,21412.0
171,3115607,Cedro do Abaeté,19483.63,1084.0
172,3115706,Central de Minas,12334.73,6213.0
173,3115805,Centralina,33942.79,10447.0
174,3115904,Chácara,14661.46,3194.0
175,3116001,Chalé,20049.37,6289.0
176,3116100,Chapada do Norte,7247.1,9763.0
177,3116159,Chapada Gaúcha,28354.63,12904.0
178,3116209,Chiador,14020.88,2868.0
179,3116308,Cipotânea,10762.85,5549.0
180,3116407,Claraval,37352.16,4786.0
181,3116506,Claro dos Poções,11196.9,7230.0
182,3116605,Cláudio,38451.85,31936.0
183,3116704,Coimbra,18325.94,7293.0
184,3116803,Coluna,13756.65,8206.0
185,3116902,Comendador Gomes,49491.51,2804.0
186,3117009,Comercinho,10285.11,6540.0
187,3117108,Conceição da Aparecida,26487.93,10705.0
